Regulator,Target,RegulatorEnsembleID,TargetEnsembleID,diseaseCategory,DiseaseName2,RegulationDiretion,ExpressionPattern,RegulatorType,TargetType,Target_cleaned,Regulator_cleaned,Regulator_cleaned2,Target_cleaned2
MALAT1,AXL,ENSG00000251562,ENSG00000167601,Cancer,Neuroblastoma,positively-E,upregulation,lncRNA,PCG,AXL,MALAT1,MALAT1,AXL
UCA1,CDKN1A,ENSG00000214049,ENSG00000124762,Cancer,Kidney cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,UCA1,UCA1,CDKN1A
UCA1,miR-495,ENSG00000214049,ENSG00000207743,Cancer,Kidney cancer,negatively-F,upregulation,lncRNA,miRNA,miR-495,UCA1,UCA1,miR-495
MYCN,SNHG1,ENSG00000134323,ENSG00000255717,Cancer,Neuroblastoma,positively-E,upregulation,TF,lncRNA,SNHG1,MYCN,MYCN,SNHG1
CDKN2B-AS1,CDKN2B,ENSG00000240498,ENSG00000147883,Cancer,Thyroid cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2B,CDKN2B-AS1,CDKN2B-AS1,CDKN2B
TUG1,PTEN,ENSG00000253352,ENSG00000171862,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,PTEN,TUG1,TUG1,PTEN
RBM24,MALAT1,ENSG00000112183,ENSG00000251562,Cancer,Nasopharynx carcinoma,negatively-E,upregulation,PCG,lncRNA,MALAT1,RBM24,RBM24,MALAT1
EGF,LINC01089,ENSG00000138798,ENSG00000212694,Cancer,Breast cancer,negatively-E,downregulation,PCG,lncRNA,LINC01089,EGF,EGF,LINC01089
H19,MACC1,ENSG00000130600,ENSG00000183742,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,MACC1,H19,H19,MACC1
H19,EGFR,ENSG00000130600,ENSG00000146648,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,EGFR,H19,H19,EGFR
H19,CTNNB1,ENSG00000130600,ENSG00000168036,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,CTNNB1,H19,H19,CTNNB1
H19,MAPK3,ENSG00000130600,ENSG00000102882,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,MAPK3,H19,H19,MAPK3
H19,MAPK1,ENSG00000130600,ENSG00000100030,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,MAPK1,H19,H19,MAPK1
HOTAIR,HLA-G,ENSG00000228630,ENSG00000204632,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,HLA-G,HOTAIR,HOTAIR,HLA-G
HOTAIR,RAB22A,ENSG00000228630,ENSG00000124209,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,RAB22A,HOTAIR,HOTAIR,RAB22A
MEG3,HSPA5,ENSG00000214548,ENSG00000044574,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,HSPA5,MEG3,MEG3,HSPA5
MEG3,NFKB1,ENSG00000214548,ENSG00000109320,Cancer,Liver cancer,positively-E,downregulation,lncRNA,TF,NFKB1,MEG3,MEG3,NFKB1
ZEB1-AS1,BAX,ENSG00000237036,ENSG00000087088,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,BAX,ZEB1-AS1,ZEB1-AS1,BAX
ZEB1-AS1,BCL2,ENSG00000237036,ENSG00000171791,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,BCL2,ZEB1-AS1,ZEB1-AS1,BCL2
ZEB1-AS1,CCND1,ENSG00000237036,ENSG00000110092,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,CCND1,ZEB1-AS1,ZEB1-AS1,CCND1
ZEB1-AS1,CDK2,ENSG00000237036,ENSG00000123374,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,CDK2,ZEB1-AS1,ZEB1-AS1,CDK2
ZEB1-AS1,ZEB1,ENSG00000237036,ENSG00000148516,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,ZEB1,ZEB1-AS1,ZEB1-AS1,ZEB1
ZEB1-AS1,MMP2,ENSG00000237036,ENSG00000087245,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,MMP2,ZEB1-AS1,ZEB1-AS1,MMP2
ZEB1-AS1,MMP9,ENSG00000237036,ENSG00000100985,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,MMP9,ZEB1-AS1,ZEB1-AS1,MMP9
ZEB1-AS1,CDH2,ENSG00000237036,ENSG00000170558,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,CDH2,ZEB1-AS1,ZEB1-AS1,CDH2
ZEB1-AS1,ITGB1,ENSG00000237036,ENSG00000150093,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,ITGB1,ZEB1-AS1,ZEB1-AS1,ITGB1
ZEB1-AS1,CDH1,ENSG00000237036,ENSG00000039068,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,CDH1,ZEB1-AS1,ZEB1-AS1,CDH1
MALAT1,TGFA,ENSG00000251562,ENSG00000163235,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,TGFA,MALAT1,MALAT1,TGFA
SOCS2-AS1,TNFSF10,ENSG00000246985,ENSG00000121858,Cancer,Prostate cancer,negatively-E,upregulation,lncRNA,PCG,TNFSF10,SOCS2-AS1,SOCS2-AS1,TNFSF10
NEAT1,E2F3,ENSG00000245532,ENSG00000112242,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,E2F3,NEAT1,NEAT1,E2F3
TUG1,CELF1,ENSG00000253352,ENSG00000149187,Cancer,Lung cancer,negatively-E,downregulation,lncRNA,PCG,CELF1,TUG1,TUG1,CELF1
PVT1,miR-200b,ENSG00000249859,ENSG00000207730,Cancer,Cervical cancer,negatively-E,upregulation,lncRNA,miRNA,miR-200b,PVT1,PVT1,miR-200b
MEG3,NOTCH1,ENSG00000214548,ENSG00000148400,Cancer,Endometrial cancer,positively-E,downregulation,lncRNA,PCG,NOTCH1,MEG3,MEG3,NOTCH1
MEG3,HES1,ENSG00000214548,ENSG00000114315,Cancer,Endometrial cancer,positively-E,downregulation,lncRNA,TF,HES1,MEG3,MEG3,HES1
HOTAIR,FOXM1,ENSG00000228630,ENSG00000111206,Cancer,Breast cancer,positively-E,upregulation,lncRNA,TF,FOXM1,HOTAIR,HOTAIR,FOXM1
HOTAIR,FOXA1,ENSG00000228630,ENSG00000129514,Cancer,Breast cancer,positively-E,upregulation,lncRNA,TF,FOXA1,HOTAIR,HOTAIR,FOXA1
HOTAIR,PDCD4,ENSG00000228630,ENSG00000150593,Cancer,Brain glioma,negatively-E,upregulation,lncRNA,PCG,PDCD4,HOTAIR,HOTAIR,PDCD4
PICSAR,DUSP6,ENSG00000275874,ENSG00000139318,Cancer,Skin carcinoma,negatively-E,upregulation,lncRNA,PCG,DUSP6,PICSAR,PICSAR,DUSP6
PICSAR,MAPK3,ENSG00000275874,ENSG00000102882,Cancer,Skin carcinoma,positively-E,upregulation,lncRNA,PCG,MAPK3,PICSAR,PICSAR,MAPK3
PICSAR,MAPK1,ENSG00000275874,ENSG00000100030,Cancer,Skin carcinoma,positively-E,upregulation,lncRNA,PCG,MAPK1,PICSAR,PICSAR,MAPK1
UCA1,FOXM1,ENSG00000214049,ENSG00000111206,Cancer,Melanoma,positively-E,upregulation,lncRNA,TF,FOXM1,UCA1,UCA1,FOXM1
CRNDE,PIWIL4,ENSG00000245694,ENSG00000134627,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,PIWIL4,CRNDE,CRNDE,PIWIL4
miR-148b-3p,HOTAIR,ENSG00000199122,ENSG00000228630,Cancer,Brain glioma,negatively-F,downregulation,miRNA,lncRNA,HOTAIR,miR-148b-3p,miR-148b-3p,HOTAIR
TUSC7,EPHA4,ENSG00000243197,ENSG00000116106,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,PCG,EPHA4,TUSC7,TUSC7,EPHA4
UCA1,MMP14,ENSG00000214049,ENSG00000157227,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,MMP14,UCA1,UCA1,MMP14
TUSC7,BCL2,ENSG00000243197,ENSG00000171791,Cancer,Osteosarcoma,positively-E,downregulation,lncRNA,PCG,BCL2,TUSC7,TUSC7,BCL2
TUG1,VEGFA,ENSG00000253352,ENSG00000112715,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,VEGFA,TUG1,TUG1,VEGFA
CASC11,HNRNPK,ENSG00000249375,ENSG00000165119,Cancer,Colorectal cancer,interact,upregulation,lncRNA,PCG,HNRNPK,CASC11,CASC11,HNRNPK
MYC,CASC11,ENSG00000136997,ENSG00000249375,Cancer,Colorectal cancer,positively-E,,TF,lncRNA,CASC11,MYC,MYC,CASC11
RMRP,CCND2,ENSG00000269900,ENSG00000118971,Cancer,Gastric cancer,positively-E,downregulation,lncRNA,PCG,CCND2,RMRP,RMRP,CCND2
DANCR,TIMP2,ENSG00000226950,ENSG00000035862,Cancer,Prostate cancer,negatively-E,upregulation,lncRNA,PCG,TIMP2,DANCR,DANCR,TIMP2
DANCR,TIMP3,ENSG00000226950,ENSG00000100234,Cancer,Prostate cancer,negatively-E,upregulation,lncRNA,PCG,TIMP3,DANCR,DANCR,TIMP3
HIF1A-AS2,HMGA1,,ENSG00000137309,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,HMGA1,HIF1A-AS2,HIF1A-AS2,HMGA1
HOXA13,HOTTIP,ENSG00000106031,ENSG00000243766,Cancer,Gastric cancer,positively-E,upregulation,TF,lncRNA,HOTTIP,HOXA13,HOXA13,HOTTIP
H19,ABCB1,ENSG00000130600,ENSG00000085563,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,ABCB1,H19,H19,ABCB1
H19,ABCC1,ENSG00000130600,ENSG00000103222,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,ABCC1,H19,H19,ABCC1
H19,ABCG2,ENSG00000130600,ENSG00000118777,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,ABCG2,H19,H19,ABCG2
BCYRN1,BCL2L1,ENSG00000236824,ENSG00000171552,Cancer,Breast cancer,negatively-F,upregulation,lncRNA,PCG,BCL2L1,BCYRN1,BCYRN1,BCL2L1
LNCRNA-ATB,TGFB2,,ENSG00000092969,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,TGFB2,LNCRNA-ATB,LNCRNA-ATB,TGFB2
CRNDE,CASP3,ENSG00000245694,ENSG00000164305,Cancer,Medulloblastoma,negatively-E,upregulation,lncRNA,PCG,CASP3,CRNDE,CRNDE,CASP3
CRNDE,PCNA,ENSG00000245694,ENSG00000132646,Cancer,Medulloblastoma,negatively-E,upregulation,lncRNA,PCG,PCNA,CRNDE,CRNDE,PCNA
H19,YES1,ENSG00000130600,ENSG00000176105,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,PCG,YES1,H19,H19,YES1
PAUPAR,HES1,ENSG00000281880,ENSG00000114315,Cancer,Uveal cancer,negatively-E,downregulation,lncRNA,TF,HES1,PAUPAR,PAUPAR,HES1
DUXAP9,TWIST1,ENSG00000225210,ENSG00000122691,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,TF,TWIST1,DUXAP9,DUXAP9,TWIST1
DUXAP9,SNAI1,ENSG00000225210,ENSG00000124216,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,TF,SNAI1,DUXAP9,DUXAP9,SNAI1
DUXAP9,VIM,ENSG00000225210,ENSG00000026025,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,VIM,DUXAP9,DUXAP9,VIM
DUXAP9,TJP1,ENSG00000225210,ENSG00000104067,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,TJP1,DUXAP9,DUXAP9,TJP1
HOTTIP,HOXA13,ENSG00000243766,ENSG00000106031,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,TF,HOXA13,HOTTIP,HOTTIP,HOXA13
CDKN2B-AS1,CDKN2B,ENSG00000240498,ENSG00000147883,Cancer,Ovarian cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2B,CDKN2B-AS1,CDKN2B-AS1,CDKN2B
CDKN2B-AS1,BCL2,ENSG00000240498,ENSG00000171791,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,BCL2,CDKN2B-AS1,CDKN2B-AS1,BCL2
MALAT1,MMP13,ENSG00000251562,ENSG00000137745,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,MMP13,MALAT1,MALAT1,MMP13
MALAT1,MMP19,ENSG00000251562,ENSG00000123342,Cancer,Ovarian cancer,negatively-E,upregulation,lncRNA,PCG,MMP19,MALAT1,MALAT1,MMP19
MALAT1,ADAMTS1,ENSG00000251562,ENSG00000154734,Cancer,Ovarian cancer,negatively-E,upregulation,lncRNA,PCG,ADAMTS1,MALAT1,MALAT1,ADAMTS1
linc-UFC1,CTNNB1,,ENSG00000168036,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,CTNNB1,linc-UFC1,linc-UFC1,CTNNB1
linc-UFC1,MAPK1,,ENSG00000100030,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,MAPK1,linc-UFC1,linc-UFC1,MAPK1
linc-UFC1,CDK4,,ENSG00000135446,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,CDK4,linc-UFC1,linc-UFC1,CDK4
linc-UFC1,CCND1,,ENSG00000110092,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,CCND1,linc-UFC1,linc-UFC1,CCND1
linc-UFC1,RB1,,ENSG00000139687,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,RB1,linc-UFC1,linc-UFC1,RB1
AGAP2-AS1,LATS2,ENSG00000255737,ENSG00000150457,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,LATS2,AGAP2-AS1,AGAP2-AS1,LATS2
AGAP2-AS1,KLF2,ENSG00000255737,ENSG00000127528,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,TF,KLF2,AGAP2-AS1,AGAP2-AS1,KLF2
HNF1A-AS1,BCL2,ENSG00000241388,ENSG00000171791,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,BCL2,HNF1A-AS1,HNF1A-AS1,BCL2
HNF1A-AS1,ATG5,ENSG00000241388,ENSG00000057663,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,ATG5,HNF1A-AS1,HNF1A-AS1,ATG5
H19,EZH2,ENSG00000130600,ENSG00000106462,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,PCG,EZH2,H19,H19,EZH2
GAS5,PTEN,ENSG00000234741,ENSG00000171862,Cancer,Breast cancer,positively-E,downregulation,lncRNA,PCG,PTEN,GAS5,GAS5,PTEN
LNCARSR,AXL,ENSG00000233086,ENSG00000167601,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,AXL,LNCARSR,LNCARSR,AXL
LNCARSR,MET,ENSG00000233086,ENSG00000105976,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,MET,LNCARSR,LNCARSR,MET
LINC00673,NCALD,ENSG00000227036,ENSG00000104490,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,NCALD,LINC00673,LINC00673,NCALD
MALAT1,CTNNB1,ENSG00000251562,ENSG00000168036,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,MALAT1,MALAT1,CTNNB1
MALAT1,EZH2,ENSG00000251562,ENSG00000106462,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,PCG,EZH2,MALAT1,MALAT1,EZH2
MALAT1,LIN28A,ENSG00000251562,ENSG00000131914,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,TF,LIN28A,MALAT1,MALAT1,LIN28A
FTX,DDX58,ENSG00000230590,ENSG00000107201,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,PCG,DDX58,FTX,FTX,DDX58
SNHG1,TP53,ENSG00000255717,ENSG00000141510,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,TF,TP53,SNHG1,SNHG1,TP53
UCA1,PARP1,ENSG00000214049,ENSG00000143799,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,PARP1,UCA1,UCA1,PARP1
UCA1,BCL2,ENSG00000214049,ENSG00000171791,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,BCL2,UCA1,UCA1,BCL2
LINC-ROR,ZEB1,ENSG00000258609,ENSG00000148516,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,TF,ZEB1,LINC-ROR,LINC-ROR,ZEB1
MALAT1,PROM1,ENSG00000251562,ENSG00000007062,Cancer,Breast cancer,negatively-E,downregulation,lncRNA,PCG,PROM1,MALAT1,MALAT1,PROM1
H19,ZEB1,ENSG00000130600,ENSG00000148516,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,TF,ZEB1,H19,H19,ZEB1
H19,ZEB2,ENSG00000130600,ENSG00000169554,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,TF,ZEB2,H19,H19,ZEB2
FGFR3-AS1,FGFR3,,ENSG00000068078,Cancer,Osteosarcoma,positively-F,upregulation,lncRNA,PCG,FGFR3,FGFR3-AS1,FGFR3-AS1,FGFR3
PVT1,LATS2,ENSG00000249859,ENSG00000150457,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,LATS2,PVT1,PVT1,LATS2
CCAT1,MYC,,ENSG00000136997,Cancer,Leukemia,positively-E,upregulation,lncRNA,TF,MYC,CCAT1,CCAT1,MYC
LINC00668,CDKN2B,ENSG00000265933,ENSG00000147883,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2B,LINC00668,LINC00668,CDKN2B
E2F1,LINC00668,ENSG00000101412,ENSG00000265933,Cancer,Gastric cancer,positively-E,upregulation,TF,lncRNA,LINC00668,E2F1,E2F1,LINC00668
LINC00668,CDKN2A,ENSG00000265933,ENSG00000147889,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2A,LINC00668,LINC00668,CDKN2A
LINC00668,CDKN1A,ENSG00000265933,ENSG00000124762,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,LINC00668,LINC00668,CDKN1A
LINC00668,CDKN1B,ENSG00000265933,ENSG00000111276,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1B,LINC00668,LINC00668,CDKN1B
LINC00668,CDKN1C,ENSG00000265933,ENSG00000129757,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1C,LINC00668,LINC00668,CDKN1C
MEG3,GDF15,ENSG00000214548,ENSG00000130513,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,GDF15,MEG3,MEG3,GDF15
MEG3,MDM2,ENSG00000214548,ENSG00000135679,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,PCG,MDM2,MEG3,MEG3,MDM2
XIST,SMAD7,ENSG00000229807,ENSG00000101665,Cancer,Liver cancer,positively-E,downregulation,lncRNA,TF,SMAD7,XIST,XIST,SMAD7
MYC,TINCR,ENSG00000136997,ENSG00000223573,Cancer,Colorectal cancer,negatively-E,downregulation,TF,lncRNA,TINCR,MYC,MYC,TINCR
TINCR,EPCAM,ENSG00000223573,ENSG00000119888,Cancer,Colorectal cancer,negatively-F,downregulation,lncRNA,PCG,EPCAM,TINCR,TINCR,EPCAM
miR-141,H19,ENSG00000207708,ENSG00000130600,Cancer,Osteosarcoma,negatively-E,downregulation,miRNA,lncRNA,H19,miR-141,miR-141,H19
Lnc34a,miR-34a,ENSG00000228526,ENSG00000284357,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,miRNA,miR-34a,Lnc34a,Lnc34a,miR-34a
TP73-AS1,BDH2,ENSG00000227372,ENSG00000164039,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,PCG,BDH2,TP73-AS1,TP73-AS1,BDH2
TATDN1,CDH1,ENSG00000147687,ENSG00000039068,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,CDH1,TATDN1,TATDN1,CDH1
TATDN2,ERBB2,ENSG00000157014,ENSG00000141736,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,ERBB2,TATDN2,TATDN2,ERBB2
TATDN3,CTNNB1,ENSG00000203705,ENSG00000168036,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,TATDN3,TATDN3,CTNNB1
TATDN1,EZR,ENSG00000147687,ENSG00000092820,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,EZR,TATDN1,TATDN1,EZR
UCA1,CREB1,ENSG00000214049,ENSG00000118260,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,CREB1,UCA1,UCA1,CREB1
AFAP1-AS1,RHOA,ENSG00000272620,ENSG00000067560,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,RHOA,AFAP1-AS1,AFAP1-AS1,RHOA
AFAP1-AS1,RAC2,ENSG00000272620,ENSG00000128340,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,RAC2,AFAP1-AS1,AFAP1-AS1,RAC2
GAS5,MMP2,ENSG00000234741,ENSG00000087245,Cancer,Melanoma,negatively-E,downregulation,lncRNA,PCG,MMP2,GAS5,GAS5,MMP2
BACE1-AS,BACE1,ENSG00000278768,ENSG00000186318,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,BACE1,BACE1-AS,BACE1-AS,BACE1
MALAT1,CDK4,ENSG00000251562,ENSG00000135446,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,CDK4,MALAT1,MALAT1,CDK4
MT1JP,TP53,ENSG00000255986,ENSG00000141510,Cancer,Liver cancer,positively-E,downregulation,lncRNA,TF,TP53,MT1JP,MT1JP,TP53
SAMMSON,C1QBP,ENSG00000240405,ENSG00000108561,Cancer,Melanoma,interact,upregulation,lncRNA,PCG,C1QBP,SAMMSON,SAMMSON,C1QBP
UCA1,CDK2,ENSG00000214049,ENSG00000123374,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,CDK2,UCA1,UCA1,CDK2
UCA1,CDKN1B,ENSG00000214049,ENSG00000111276,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1B,UCA1,UCA1,CDKN1B
HULC,ESM1,ENSG00000285219,ENSG00000164283,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,ESM1,HULC,HULC,ESM1
MALAT1,PCDH10,ENSG00000251562,ENSG00000138650,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,PCDH10,MALAT1,MALAT1,PCDH10
HOTAIR,CASP2,ENSG00000228630,ENSG00000106144,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,CASP2,HOTAIR,HOTAIR,CASP2
HOTAIR,miR-125a-5p,ENSG00000228630,ENSG00000208008,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,miRNA,miR-125a-5p,HOTAIR,HOTAIR,miR-125a-5p
MALAT1,AKAP9,ENSG00000251562,ENSG00000127914,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,AKAP9,MALAT1,MALAT1,AKAP9
MALAT1,SRSF1,ENSG00000251562,ENSG00000136450,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,SRSF1,MALAT1,MALAT1,SRSF1
FEZF1-AS1,FEZF1,ENSG00000230316,ENSG00000128610,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,FEZF1,FEZF1-AS1,FEZF1-AS1,FEZF1
LINC01133,KLF2,ENSG00000224259,ENSG00000127528,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,TF,KLF2,LINC01133,LINC01133,KLF2
LINC01133,CDKN1A,ENSG00000224259,ENSG00000124762,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,LINC01133,LINC01133,CDKN1A
LINC01133,CDH1,ENSG00000224259,ENSG00000039068,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,CDH1,LINC01133,LINC01133,CDH1
RGMB-AS1,RGMB,ENSG00000246763,ENSG00000174136,Cancer,Lung cancer,negatively-E,downregulation,lncRNA,PCG,RGMB,RGMB-AS1,RGMB-AS1,RGMB
MEG3,TP53,ENSG00000214548,ENSG00000141510,Cancer,Pancreatic cancer,positively-E,downregulation,lncRNA,TF,TP53,MEG3,MEG3,TP53
MALAT1,MMP2,ENSG00000251562,ENSG00000087245,Cancer,Brain glioma,negatively-E,downregulation,lncRNA,PCG,MMP2,MALAT1,MALAT1,MMP2
CCAT1,HNRNPA1,,ENSG00000135486,Cancer,Gastric cancer,positively-E,downregulation,lncRNA,PCG,HNRNPA1,CCAT1,CCAT1,HNRNPA1
MALAT1,TJP1,ENSG00000251562,ENSG00000104067,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,TJP1,MALAT1,MALAT1,TJP1
MALAT1,CTNNB1,ENSG00000251562,ENSG00000168036,Cancer,Cervical cancer,negatively-E,upregulation,lncRNA,PCG,CTNNB1,MALAT1,MALAT1,CTNNB1
CYTOR,CDKN2B,ENSG00000222041,ENSG00000147883,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2B,CYTOR,CYTOR,CDKN2B
CYTOR,CDKN2A,ENSG00000222041,ENSG00000147889,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2A,CYTOR,CYTOR,CDKN2A
PANDAR,CDKN2A,ENSG00000281450,ENSG00000147889,Cancer,Breast cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2A,PANDAR,PANDAR,CDKN2A
PVT1,CDKN2B,ENSG00000249859,ENSG00000147883,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,CDKN2B,PVT1,PVT1,CDKN2B
PVT1,CDKN1A,ENSG00000249859,ENSG00000124762,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,PVT1,PVT1,CDKN1A
SNHG12,AMOT,ENSG00000197989,ENSG00000126016,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,AMOT,SNHG12,SNHG12,AMOT
HOTAIR,WIF1,ENSG00000228630,ENSG00000156076,Cancer,Pancreatic cancer,negatively-E,upregulation,lncRNA,PCG,WIF1,HOTAIR,HOTAIR,WIF1
MALAT1,KDM5B,ENSG00000251562,ENSG00000117139,Cancer,Breast cancer,positively-E,upregulation,lncRNA,TF,KDM5B,MALAT1,MALAT1,KDM5B
MALAT1,miR-448,ENSG00000251562,ENSG00000199001,Cancer,Breast cancer,negatively-E,upregulation,lncRNA,miRNA,miR-448,MALAT1,MALAT1,miR-448
TUG1,CDKN1C,ENSG00000253352,ENSG00000129757,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1C,TUG1,TUG1,CDKN1C
MALAT1,FGF2,ENSG00000251562,ENSG00000138685,Cancer,Neuroblastoma,positively-E,upregulation,lncRNA,PCG,FGF2,MALAT1,MALAT1,FGF2
CTNNB1,KCNQ1OT1,ENSG00000168036,ENSG00000269821,Cancer,Colorectal cancer,positively-E,upregulation,PCG,lncRNA,KCNQ1OT1,CTNNB1,CTNNB1,KCNQ1OT1
lncRNA-NUTF2P3-001,KRAS,ENST00000448540,ENSG00000133703,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,KRAS,lncRNA-NUTF2P3-001,lncRNA-NUTF2P3-001,KRAS
MALAT1,EPAS1,ENSG00000251562,ENSG00000116016,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,EPAS1,MALAT1,MALAT1,EPAS1
